index,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
5145,улица Кукшумская,17,2021-06-11 15:21:41.278,С 1983 года не ремонтировали дорогу к поликлинике от Кукшумской 17 к Кукшумской 21,15145,"['1983', 'год', 'ремонтировать', 'дорога', 'поликлиника', 'кукшумский', '17', 'кукшумский', '21']",General improvement
5146,улица Тополиная,11,2021-06-09 03:24:33.376,"Просим обратить внимание на двор по улице Тополиная 13 дома. Не хватает спортивной площадки, детского городка, песочниц",15146,"['просить', 'обращать', 'внимание', 'двор', 'улица', 'тополиный', '13', 'дома', 'хватать', 'спортивный', 'площадка', 'детский', 'городок', 'песочница']",Need for a road
5147,проспект Мира,23,2021-06-09 11:20:56.302,отремонтировать детскую площадку,15147,"['отремонтировать', 'детский', 'площадка']",Need for a road
5148,улица Хузангая,1,2021-06-11 22:12:16.543,"При входе в подъезд сделать перила, много пожилых людей",15148,"['вход', 'подъезд', 'сделать', 'перила', 'пожилой', 'человек']",General improvement
5149,проспект 9-й Пятилетки,19/37,2021-06-11 05:36:06.196,Обновить детскую площадку,15149,"['обновлять', 'детский', 'площадка']",Playground
5150,улица Коммунистическая,34,2021-06-10 22:35:30.044,"Побольше зарплаты, пенсию прибавили ",15150,"['зарплата', 'пенсия', 'прибавлять']",General improvement
5151,улица Ж.Крутовой,6,2021-06-12 21:20:02.073,"Дерево срубить со стороны техникума, очень жалуются",15151,"['дерево', 'срубать', 'сторона', 'техникум', 'очень', 'жаловаться']",General improvement
5152,проспект И.Я.Яковлева,8 корп. 1,2021-06-12 08:40:51.455,"ремонт крыши, протекает",15152,"['ремонт', 'крыша', 'протекать']",Major overhaul
5153,улица Воинов интернационалистов,7,2021-06-05 14:22:33.857,Ремонт в подъезде,15153,"['ремонт', 'подъезд']",Major overhaul
5154,улица Калинина,102 корп. 2,2021-06-06 20:53:35.538,Льготы,15154,['льгота'],Need for a road
5155,проспект 9-й Пятилетки,2 корп. 1,2021-06-12 06:35:03.167,"Прошу убрать из нашего дома центр ""Новая жизнь""  в другое место, т.к. посетители ведут себя не адекватно.",15155,"['просить', 'убирать', 'наш', 'дом', 'центр', ' ""', 'новый', 'жизнь', '""  ', 'место', 'т', 'посетитель', 'вести', 'адекватно']",General improvement
5156,проспект Мира,27,2021-06-08 23:18:38.137,сделать дороги и остановку пр.Яковлева,15156,"['сделать', 'дорога', 'остановка', 'пр', 'яковлев']",General improvement
5157,улица Гагарина Ю.,24/1,2021-06-08 15:42:33.278,"Благоустройство детской площадки
Ремонт подъезда",15157,"['благоустройство', 'детский', 'площадка', 'ремонт', 'подъезд']",Need for a road
5158,улица Магницкого,2 корп. 1,2021-06-05 23:18:48.325,выполнять свои обещания на деле.,15158,"['выполнять', 'свой', 'обещание', 'дело']",Need for a road
5159,проспект Тракторостроителей,14,2021-06-05 21:06:00.197,Ремонт дороги вдоль дома.,15159,"['ремонт', 'дорога', 'вдоль', 'дом']",Need for a road
5160,проспект Мира,23,2021-06-09 06:57:58.616,сделать детскую площадку,15160,"['сделать', 'детский', 'площадка']",Playground
5161,улица Гражданская,64,2021-06-05 00:40:27.130,"Провести асфальтирование отмостков вокруг школы №50, тротуара на территории, доделать ограждение по периметру",15161,"['проводить', 'асфальтирование', 'отмосток', 'вокруг', 'школа', '№', '50', 'тротуар', 'территория', 'доделывать', 'ограждение', 'периметр']",Need for a road
5162,улица П.В.Дементьева,18 корп. 2,2021-06-08 10:09:13.218,"дождевые стоки по нашему дому, и 18к.1, спортивные площадки",15162,"['дождевой', 'сток', 'наш', 'дом', '18к', '1', 'спортивный', 'площадка']",Need for a road
5163,улица П.В.Дементьева,18 корп. 2,2021-06-08 10:11:33.648,"парк, парковку увеличить",15163,"['парк', 'парковка', 'увеличивать']",Parking
5164,бульвар Эгерский,25,2021-06-11 23:17:24.148,Уменьшить платежи за ЖКХ.,15164,"['уменьшать', 'платеж', 'жкх']",General improvement
5165,проспект Тракторостроителей,54,2021-06-06 16:54:53.990,Построить школу в Ясной Поляне.,15165,"['построить', 'школа', 'ясный', 'поляна']",Need for a road
5166,улица Социалистическая,13,2021-06-14 12:40:14.444,"Будем очень благодарны, если по ул.Социалистическая, 13 построите нам новую детскую площадку и тренажеры под крышей
",15166,"['очень', 'благодарный', 'ул', 'социалистический', '13', 'построить', 'новый', 'детский', 'площадка', 'тренажер', 'крыша']",General improvement
5167,улица Винокурова,115,2021-06-12 07:22:24.007,Ремонт в подъезде,15167,"['ремонт', 'подъезд']",Major overhaul
5168,проспект 9-й Пятилетки,4А,2021-06-12 07:00:51.753,Обустроить детскую площадку.,15168,"['обустраивать', 'детский', 'площадка']",General improvement
5169,улица 9-я Южная,81/15,2021-06-06 21:10:29.200,Перенести мусорные контейнеры.,15169,"['перенести', 'мусорный', 'контейнер']",Major overhaul
5170,проспект И.Я.Яковлева,10 корп. 1,2021-06-12 08:15:13.920,"Вырубка тополя 
установить тренажеры или дет. площадку",15170,"['вырубка', 'тополь', ' \n', 'устанавливать', 'тренажер', 'дет', 'площадка']",General improvement
5171,улица Энгельса,1 корп. 3,2021-06-09 14:54:41.730,"напротив нашего дома имеется заброшенное страительсто , там собираються дети . даный обект представляет угрозу для их же жизни и здоровья . там курят, шумят, не дают по ночам спать",15171,"['напротив', 'наш', 'дом', 'иметься', 'забросить', 'страительсто', ' , ', 'собираються', 'ребенок', 'даный', 'обект', 'представлять', 'угроза', 'жизнь', 'здоровье', 'курить', 'шуметь', 'давать', 'ночь', 'спать']",General improvement
5172,проспект 9-й Пятилетки,24,2021-06-13 01:02:47.246,Просьба установить ограждение на участке между подъездами (палисадник).,15172,"['просьба', 'устанавливать', 'ограждение', 'участок', 'подъезд', ' (', 'палисадник', ')']",General improvement
5173,"улица д. Чандрово, ул. Чандровская",26,2021-06-10 23:55:36.096,"Пешеходный тротуар, интернет, отремонтировать проезжую часть, садик",15173,"['пешеходный', 'тротуар', 'интернет', 'отремонтировать', 'проезжий', 'часть', 'садик']",General improvement
5174,улица Афанасьева,5,2021-06-05 12:00:38.738,Вырубите деревья по адресу ул. Афанасьева 5 около хоккейной площадки.,15174,"['вырубать', 'дерево', 'адрес', 'ул', 'афанасьев', '5', 'около', 'хоккейный', 'площадка']",General improvement
5175,проспект Мира,88Б,2021-06-09 12:14:38.789,"Благоустроить дорогу ,и убрать через площадку заросли длинного клена. Вдоль школы №57 нужен тротуар.",15175,"['благоустраивать', 'дорога', ' ,', 'убирать', 'площадка', 'заросль', 'длинный', 'клен', 'вдоль', 'школа', '№', '57', 'нужный', 'тротуар']",General improvement
5176,улица Университетская,8,2021-06-13 12:45:02.977,Детскую площадку современную. ,15176,"['детский', 'площадка', 'современный']",Playground
5177,бульвар Речной,3 корп. 1,2021-06-09 09:28:51.974,"Дороги, площадки",15177,"['дорога', 'площадка']",Need for a road
5178,бульвар А.Миттова,21,2021-06-11 09:54:23.412,"По ЮЗР организуйте пожалуйста установку урн, контейнеров для мусора, чтобы жители города могли соблюдать чистоту. А то везде валяется мусор",15178,"['юзра', 'организовывать', 'пожалуйста', 'установка', 'урна', 'контейнер', 'мусор', 'житель', 'город', 'мочь', 'соблюдать', 'чистота', 'везде', 'валяться', 'мусор']",General improvement
5179,улица Олега Кошевого,9 корп. 1,2021-06-04 20:02:42.029,заасфальтировать дорогу,15179,"['заасфальтировать', 'дорога']",Need for a road
5180,улица Чернышевского,26,2021-06-07 19:52:17.563,"Во дворе дома по ул.Чернышевского,26 сделать ремонт проезжей части дороги и тротуара",15180,"['двор', 'дом', 'ул', 'чернышевский', '26', 'сделать', 'ремонт', 'проезжий', 'часть', 'дорога', 'тротуар']",General improvement
5181,улица Мичмана Павлова,62,2021-06-12 22:10:29.149,Тротуар в Белко-парке. ,15181,"['тротуар', 'белко', '-', 'парк']",Need for a road
5183,улица Энтузиастов,16,2021-07-06 13:23:01.099,Ремонт дворовой территории дом 16.,15183,"['ремонт', 'дворовый', 'территория', 'дом', '16']",Need for a road
5184,улица Пржевальского,5,2021-06-06 19:38:22.485,Поставить песочницу возле дома.,15184,"['поставлять', 'песочница', 'возле', 'дом']",Need for a road
5185,улица Пржевальского,5,2021-06-06 19:44:12.408,Поставить песочницу во дворе.,15185,"['поставлять', 'песочница', 'двор']",Need for a road
5186,улица Ж.Крутовой,8,2021-06-06 21:16:07.210,Подача горячей воды в доме нарушена,15186,"['подача', 'горячий', 'вода', 'дом', 'нарушать']",Need for a road
5187,улица Энтузиастов,12,2021-06-10 15:27:35.392,"плохая дет.площадка, газон не стригут, сделайте футбольное поле",15187,"['плохой', 'дет', 'площадка', 'газон', 'стричь', 'сделать', 'футбольный', 'поле']",General improvement
5188,улица Энтузиастов,12,2021-07-06 12:42:02.743,"Скудная детская площадка, постоянно ведутся работы. Газон почти не стригут. Сделайте футбольное поле для детей.",15188,"['скудный', 'детский', 'площадка', 'постоянно', 'вестись', 'работа', 'газон', 'стричь', 'сделать', 'футбольный', 'поле', 'ребенок']",General improvement
5189,улица Эльгера,30,2021-06-12 14:29:52.007,Благоустройство территории двора. ,15189,"['благоустройство', 'территория', 'двор']",Need for a road
5190,улица Эльгера,26,2021-06-08 22:18:27.721,Активировать воспитательную работу в среде молодежи,15190,"['активировать', 'воспитательный', 'работа', 'среда', 'молодежь']",General improvement
5191,улица Родниковая,3,2021-06-06 14:27:17.381,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,15191,"['просить', 'оказывать', 'содействие', 'оформление', 'земельный', 'участок', 'свой', 'жилой', 'дом', 'придомовый', 'территория']",Need for a road
5192,проспект Ленина,49,2021-06-07 22:00:00.861,"обновить асфальт во дворе 
запретить вьезд чужих машин водвор 
убрат магази канц товары ",15192,"['обновлять', 'асфальт', 'двор', ' \n', 'запрещать', 'вьезд', 'чужой', 'машина', 'водвор', ' \n', 'убрат', 'магази', 'канц', 'товар']",General improvement
5193,проспект Чебоксарский,9 корп. 1,2021-06-07 20:45:08.419,Нехватка парковочных мест,15193,"['нехватка', 'парковочный', 'место']",Need for a road
5194,улица Гузовского,8,2021-06-12 21:45:29.495,"1. Стоянка для машин.
2. Детская площадка.
3. Весной стоит вода сделать сток воды",15194,"['1', 'стоянка', 'машина', '2', 'детский', 'площадка', '3', 'весна', 'стоять', 'вода', 'сделать', 'сток', 'вода']",General improvement
5195,проспект Ленина,57,2021-06-07 19:05:53.966,"просим оградить территорию отшоссе. Ходить не возможно, опанодля жизни . Территория сделать пешеходной. Чтоб дети могли играть ",15195,"['просить', 'ограждать', 'территория', 'отшоссе', 'ходить', 'возможно', 'опанодль', 'жизнь', 'территория', 'сделать', 'пешеходный', 'ребенок', 'мочь', 'играть']",General improvement
5196,улица Советская,14,2021-06-08 15:01:58.685,Поднятие уровня населения в течении года с сегодняшнего числа,15196,"['поднятие', 'уровень', 'население', 'течение', 'год', 'сегодняшний', 'число']",General improvement
5197,улица Советская,14,2021-06-08 15:12:04.116,"1. Установить детскую площадку.
2. Отремонтировать тротуар по ул. Советская 7 от почты до Сбербанка",15197,"['1', 'устанавливать', 'детский', 'площадка', '2', 'отремонтировать', 'тротуар', 'ул', 'советский', '7', 'почта', 'сбербанк']",General improvement
5198,бульвар А.Миттова,7 корп. 1,2021-06-11 14:15:08.179,"Заезд автобусов со школьниками с садового района создает аварийную ситуацию для школьников, идущих в школу.
Водители автобусов паркуются на пешеходной зоне.
Тем самым детям приходится выходить на проезжую часть",15198,"['заезд', 'автобус', 'школьник', 'садовый', 'район', 'создавать', 'аварийный', 'ситуация', 'школьник', 'идти', 'школа', 'водитель', 'автобус', 'парковаться', 'пешеходный', 'зона', 'самый', 'ребенок', 'приходиться', 'выходить', 'проезжий', 'часть']",General improvement
5199,улица Эльменя,22,2021-06-04 20:38:12.796,снести заброшенную постройку к дому №3,15199,"['снести', 'забросить', 'постройка', 'дом', '№', '3']",General improvement
5200,улица Пролетарская,5,2021-06-07 21:36:23.330,Ремонт дорог,15200,"['ремонт', 'дорогой']",Need for a road
5201,улица Пролетарская,5,2021-06-05 21:57:05.336,Ремонт дорог,15201,"['ремонт', 'дорогой']",Need for a road
5202,улица Ленинского Комсомола,58,2021-06-08 00:08:10.144,Благоустройство территории школы 55,15202,"['благоустройство', 'территория', 'школа', '55']",Need for a road
5203,улица Ленинского Комсомола,58,2021-06-08 00:06:31.808,Просьба об увеличении количества транспорта по маршруту Лен.Комсомола,15203,"['просьба', 'увеличение', 'количество', 'транспорт', 'маршрут', 'лен', 'комсомол']",Need for a road
5204,проспект 9-й Пятилетки,32,2021-06-12 22:18:26.098,Построить возле дома спортивную площадку,15204,"['построить', 'возле', 'дом', 'спортивный', 'площадка']",Need for a road
5205,улица Винокурова,99,2021-06-05 17:05:57.916,Площадка для подростков,15205,"['площадка', 'подросток']",General improvement
5206,улица Ленинского Комсомола,23 корп. 1,2021-06-09 12:42:32.294,"Новое покрытие для детской площадки
Уборка территории
Вывоз мусора",15206,"['новый', 'покрытие', 'детский', 'площадка', 'уборка', 'территория', 'вывоз', 'мусор']",General improvement
5207,улица Гагарина Ю.,23,2021-06-07 16:37:23.658,Благоустроиство  детской площадкой ул.Гагарина д.23,15207,"['благоустроиство', 'детский', 'площадка', 'ул', 'гагарин', 'д', '23']",General improvement
5208,проспект 9-й Пятилетки,2А,2021-06-12 06:42:41.321,"Благоустройство дет. площадки.
Расширить стоянку для автомобилей",15208,"['благоустройство', 'дет', 'площадка', 'расширять', 'стоянка', 'автомобиль']",General improvement
5209,улица Зелинского,28,2021-06-07 17:13:40.974,"Построить дороги, построить детскую площадку!",15209,"['построить', 'дорога', 'построить', 'детский', 'площадка', '!']",Need for a road
5210,улица Космонавта Николаева А.Г.,46,2021-06-07 13:47:26.282,"Детская площадка
Парковка",15210,"['детский', 'площадка', 'парковка']",Parking
5211,улица Корнея Чуковского,17,2021-06-08 18:07:22.351,"Дороги, освещение",15211,"['дорога', 'освещение']",Need for a road
5212,переулок Химиков,2,2021-06-08 06:32:07.804,"Во дворе дома много бездомных собак, которые лают и мешают спать.
Требуется ремонт подъезда.",15212,"['двор', 'дом', 'бездомный', 'собака', 'который', 'лаять', 'мешать', 'спать', 'требоваться', 'ремонт', 'подъезд']",General improvement
5213,улица Космонавта Николаева А.Г.,48,2021-06-07 12:39:21.028,"Благоустройство территории
Детская площадка",15213,"['благоустройство', 'территория', 'детский', 'площадка']",General improvement
5214,улица Космонавта Николаева А.Г.,48,2021-06-07 12:41:31.357,"Благоустройство территории
Детская площадка",15214,"['благоустройство', 'территория', 'детский', 'площадка']",General improvement
5215,улица Эльгера,26,2021-06-08 21:44:15.820,Срочно отремонтировать крышу во 2 подъезде данного дома. Затопляет после каждого дождя. Помогите!!! ,15215,"['срочно', 'отремонтировать', 'крыша', '2', 'подъезд', 'данный', 'дом', 'затоплять', 'каждый', 'дождь', 'помогать', '!!!']",Major overhaul
5216,улица П.В.Дементьева,15 корп. 2,2021-06-09 14:56:48.150,школа,15216,['школа'],school
5217,улица Коммунистическая,22,2021-06-07 19:16:52.831,"Доделать площадку (много мусора, грязи)",15217,"['доделывать', 'площадка', ' (', 'мусор', 'грязь']",General improvement
5218,улица Магницкого,2 корп. 1,2021-06-05 23:11:33.934,Посадить дубовую рощу. Сделать освещение вокруг дома. Обустроить детскую площадку.,15218,"['посадить', 'дубовый', 'роща', 'сделать', 'освещение', 'вокруг', 'дом', 'обустраивать', 'детский', 'площадка']",General improvement
5219,улица Космонавта Николаева А.Г.,22,2021-06-06 19:50:56.454,Детская площадка,15219,"['детский', 'площадка']",Playground
5220,улица Университетская,8,2021-06-09 08:50:03.400,"Расширить парковку для машин, очень много. возле магазина Магнит отремонтировать дорогу. Убрать столб возле 8 подъезда машина мусорная не может проехать. Очень узкая дорога",15220,"['расширять', 'парковка', 'машина', 'очень', 'возле', 'магазин', 'магнит', 'отремонтировать', 'дорога', 'убирать', 'столб', 'возле', '8', 'подъезд', 'машина', 'мусорный', 'мочь', 'проехать', 'очень', 'узкий', 'дорога']",General improvement
5221,улица 1-ая Путепроводная,133 корп. А,2021-06-09 01:03:53.434,Установить детскую площадку,15221,"['устанавливать', 'детский', 'площадка']",General improvement
5222,проспект И.Я.Яковлева,10 корп. 1,2021-06-12 08:09:24.818,"ремонт крыльца, асфальта перед 1 подъездом",15222,"['ремонт', 'крыльцо', 'асфальт', '1', 'подъезд']",Major overhaul
5223,бульвар Эгерский,30,2021-06-07 18:43:50.533,"Капитальный ремонт
",15223,"['капитальный', 'ремонт']",Major overhaul
5224,бульвар Солнечный,14,2021-06-06 09:40:01.005,Построить парк. Поставить ограждения на детских площадках. Построить садикы и школу в микрорайоне.,15224,"['построить', 'парк', 'поставлять', 'ограждение', 'детский', 'площадка', 'построить', 'садикы', 'школа', 'микрорайон']",General improvement
5225,улица Якова Ухсая,7,2021-06-06 18:52:16.045,Отремонтировать дорогу по улице Ухсая.,15225,"['отремонтировать', 'дорога', 'улица', 'ухсай']",Need for a road
5226,улица 324 Стрелковой дивизии,13,2021-06-04 19:54:37.769,Снижение платы ЖКХ,15226,"['снижение', 'плата', 'жкх']",General improvement
5227,улица 324 Стрелковой дивизии,13,2021-06-12 23:14:29.013,Снизить плату за ЖКУ,15227,"['снижать', 'плата', 'жку']",General improvement
5228,улица Лукина,3,2021-06-14 15:43:42.063,"парковочных мест хватает, дороги ремонтируют все хорошо",15228,"['парковочный', 'место', 'хватать', 'дорога', 'ремонтировать']",Need for a road
5229,улица О.Беспалова,2,2021-06-09 00:38:43.443,"На Беспалова 2 и 2б убрать скамейки под липами: собираются люди для распития спиртных напитков ночью, не дают отдыхать",15229,"['беспалов', '2', '2б', 'убирать', 'скамейка', 'липа', ': ', 'собираться', 'человек', 'распитие', 'спиртной', 'напиток', 'ночь', 'давать', 'отдыхать']",General improvement
5230,улица Патриса Лумумбы,14 корп. 2,2021-06-05 18:40:11.784,"Детская площадка во дворе
",15230,"['детский', 'площадка', 'двор']",Playground
5231,улица Правая Набережная Сугутки,7,2021-06-17 14:10:05.932,оставить детскую поликлинику по ул. Короленко. Отремонтировать дороги,15231,"['оставлять', 'детский', 'поликлиника', 'ул', 'короленко', 'отремонтировать', 'дорога']",Need for a road
5232,улица Эльгера,8,2021-06-09 13:44:54.465,"Поставить пластиковые окна на этажах, не только на первом этаже. Отремонтировать дорогу между ТЦ Московский и СОШ № 54. ",15232,"['поставлять', 'пластиковый', 'окно', 'этаж', 'первый', 'этаж', 'отремонтировать', 'дорога', 'тц', 'московский', 'сош', '№', '54']",Need for a road
5233,улица Ахазова,3,2021-06-12 17:51:03.811,"Увеличить пенсию пенсионерам, докончить ремонт дороги. ",15233,"['увеличивать', 'пенсия', 'пенсионер', 'доканчивать', 'ремонт', 'дорога']",General improvement
5234,улица Гагарина Ю.,21,2021-06-07 15:53:19.196,"1. Запретить выгуливать собак во дворе нашего дома и повесить табличку ( Выгул собак запрещено штраф 1000р )
2. Возобновить потрулирование полиции во дворах. Невозможно пройти спокойно. постоянно выпивки, курения с 5 до 24 00. Курят и пьют на лестницах возле подьездов 
3. Заосфальтировать тротуар во дворах : осенью невозможно пройти (лужи по всей ширине ",15234,"['1', 'запрещать', 'выгуливать', 'собака', 'двор', 'наш', 'дом', 'повесить', 'табличка', ' ( ', 'выгул', 'собака', 'запрещать', 'штраф', '1000р', ' )\n', '2', 'возобновлять', 'потрулирование', 'полиция', 'двор', 'невозможно', 'проходить', 'спокойно', 'постоянно', 'выпивка', 'курение', '5', '24', '00', 'курить', 'пить', 'лестница', 'возле', 'подьезд', ' \n', '3', 'заосфальтировать', 'тротуар', 'двор', ' : ', 'осень', 'невозможно', 'проходить', ' (', 'лужа', 'весь', 'ширина']",Need for a road
5235,улица Пролетарская,5,2021-06-07 21:40:16.746,Ремонт дорог и детской площадки,15235,"['ремонт', 'дорога', 'детский', 'площадка']",Need for a road
5236,улица Пролетарская,5,2021-06-05 22:06:02.405,Ремонт дорог. Постройка детской площадки,15236,"['ремонт', 'дорогой', 'постройка', 'детский', 'площадка']",Need for a road
5237,улица Советская,77,2021-06-08 22:18:55.276,Детская площадка для детей новая,15237,"['детский', 'площадка', 'ребенок', 'новый']",Playground
5238,улица Т.Кривова,20,2021-06-03 22:36:57.767,"Благоустройство дворовой территории, ремонт детской площадки по адресу ул. Кривова дом 20 . Жалобы на управляющую компанию.",15238,"['благоустройство', 'дворовый', 'территория', 'ремонт', 'детский', 'площадка', 'адрес', 'ул', 'кривов', 'дом', '20', 'жалоба', 'управляющий', 'компания']",General improvement
5239,улица Винокурова,33,2021-06-06 20:50:57.812,"Сделать отмостку у дома, асфальт отремонтировать",15239,"['сделать', 'отмостка', 'дом', 'асфальт', 'отремонтировать']",Need for a road
5241,улица Бичурина,8,2021-06-05 22:29:48.045,Поставить скамейки. Открыть баню.,15241,"['поставлять', 'скамейка', 'открывать', 'баня']",General improvement
5242,улица Пролетарская,5,2021-06-10 03:22:39.434,"Ремонт дорог, косметический ремонт дома, 7 подъезд установить ступеньки",15242,"['ремонт', 'дорогой', 'косметический', 'ремонт', 'дома', '7', 'подъезд', 'устанавливать', 'ступенька']",General improvement
5243,бульвар Эгерский,48,2021-06-05 21:08:01.709,Требуется ремонт дороги во дворе.,15243,"['требоваться', 'ремонт', 'дорога', 'двор']",Need for a road
5244,улица 50 лет Октября,20,2021-06-04 21:35:03.390,"
Ремонт дорог",15244,"['ремонт', 'дорогой']",Need for a road
5245,улица Хузангая,1,2021-06-11 22:14:51.331,благоустройство дет. площадки. Ремонт дороги во дворе,15245,"['благоустройство', 'дет', 'площадка', 'ремонт', 'дорога', 'двор']",Need for a road
5246,улица Декабристов,16,2021-06-05 19:27:50.545,"Детская площадка
Ремонт дорог
",15246,"['детский', 'площадка', 'ремонт', 'дорогой']",Need for a road
5247,проспект Тракторостроителей,7,2021-06-07 00:47:58.811,"Благоустройство территории
Ремонт подъездов
Детская и спортивная площадка",15247,"['благоустройство', 'территория', 'ремонт', 'подъезд', 'детский', 'спортивный', 'площадка']",Need for a road
5248,проспект Мира,38,2021-06-06 16:27:03.204,"Просьба огородить двор от машин
Установить бордюры для палисадника",15248,"['просьба', 'огораживать', 'двор', 'машина', 'устанавливать', 'бордюр', 'палисадник']",General improvement
5249,улица Мичмана Павлова,68,2021-06-14 15:02:31.844,Обновить детские площадки. Тротуары. Ахазова 5 предусмотреть стоянку для посетителей больницы. Поменять окна в школах и дет. садах,15249,"['обновлять', 'детский', 'площадка', 'тротуар', 'ахазов', '5', 'предусматривать', 'стоянка', 'посетитель', 'больница', 'поменять', 'окно', 'школа', 'дет', 'сад']",General improvement
5250,улица Декабристов,12,2021-06-06 21:23:21.804,"Детская площадка
Скамейки",15250,"['детский', 'площадка', 'скамейка']",Playground
5251,улица Ленинского Комсомола,36,2021-06-08 20:53:10.036,"Детская площадка во дворе
Ремонт крыши",15251,"['детский', 'площадка', 'двор', 'ремонт', 'крыша']",Playground
5252,улица Строителей,11,2021-06-14 22:50:33.173,улучшить качество дорог и тротуаров,15252,"['улучшать', 'качество', 'дорога', 'тротуар']",General improvement
5253,бульвар Эгерский,45,2021-06-12 22:05:32.909,Ремонт подъезда №6,15253,"['ремонт', 'подъезд', '№', '6']",Major overhaul
5254,улица 50 лет Октября,22,2021-06-14 16:17:34.845,Прошу возле нашего дома (50 лет Октября) поставить скамейку,15254,"['просить', 'возле', 'наш', 'дом', ' (', '50', 'год', 'октябрь', ') ', 'поставлять', 'скамейка']",Need for a road
5255,проспект Мира,38,2021-06-06 18:56:15.427,"Замена электропроводки в подъезде
Замена канализационных труб",15255,"['замена', 'электропроводка', 'подъезд', 'замена', 'канализационный', 'труба']",General improvement
5256,проспект Мира,10,2021-06-04 21:58:39.271,Благоустройство прохода через территорию школы №33,15256,"['благоустройство', 'проход', 'территория', 'школа', '№', '33']",Need for a road
5257,улица Гражданская,92,2021-06-12 13:19:06.930,"Детская площадка пустует (старые качели) усовершенствовать.
Дороги по ЮЗР плохие. 
Отремонтировать дорогу возле детсада 28",15257,"['детский', 'площадка', 'пустовать', ' (', 'старый', 'качели', ') ', 'усовершенствовать', 'дорога', 'юзра', 'плохой', ' \n', 'отремонтировать', 'дорога', 'возле', 'детсад', '28']",Need for a road
5258,улица Винокурова,33,2021-06-06 21:08:24.857,Благоустройства двора,15258,"['благоустройство', 'двор']",Need for a road
5259,бульвар Юго-Западный,10,2021-06-07 12:52:13.049,"Благоустройство детских площадок, много красивых цветочных клумб, ухоженные территории дворов",15259,"['благоустройство', 'детский', 'площадка', 'красивый', 'цветочный', 'клумба', 'ухоженный', 'территория', 'двор']",General improvement
5260,улица Коллективная,7,2021-06-09 01:35:12.777,"Срезать зелень, деревья перед домом Кирова,11. Подрезать тополь около подъезда 1 Коллективная,7",15260,"['срезать', 'зелень', 'дерево', 'дом', 'киров', '11', 'подрезать', 'тополь', 'около', 'подъезд', '1', 'коллективный', '7']",Major overhaul
5261,улица Эльгера,26,2021-06-08 21:37:52.782,"Во дворе домов  Эльгера 28, 32, 30 установить и благоустроить детскую площадку+ тренажеры для взрослых",15261,"['двор', 'дом', 'эльгер', '28', '32', '30', 'устанавливать', 'благоустраивать', 'детский', 'площадка+', 'тренажер', 'взрослый']",General improvement
5262,бульвар Юности,2,2021-06-13 20:56:03.554,"Благоустройство площади Республики отвечает требованием программы ""формирование комфортной среды"" сохранение традиций, лицо власти.",15262,"['благоустройство', 'площадь', 'республика', 'отвечать', 'требование', 'программа', ' ""', 'формирование', 'комфортный', 'среда', '"" ', 'сохранение', 'традиция', 'лицо', 'власть']",General improvement
5263,улица Советская,14а,2021-06-12 08:31:38.047,"Сделать хорошее освещение, детскую площадку во дворе на ул. Советская 14а, ремонт в подъезде",15263,"['сделать', 'хороший', 'освещение', 'детский', 'площадка', 'двор', 'ул', 'советский', '14а', 'ремонт', 'подъезд']",General improvement
5264,улица Эльгера,26,2021-06-08 21:31:32.358,Отремонтировать крышу дома. в подъезде затапливает после дождя,15264,"['отремонтировать', 'крыша', 'дом', 'подъезд', 'затапливать', 'дождь']",Major overhaul
5265,бульвар Солнечный,16,2021-06-06 10:20:22.863,Построить школу. Благоустроить детские площадки.,15265,"['построить', 'школа', 'благоустраивать', 'детский', 'площадка']",General improvement
5266,улица Эльменя,3,2021-06-07 15:25:41.278,сделать парковку перед подъездом,15266,"['сделать', 'парковка', 'подъезд']",Playground
5267,улица Чернышевского,14,2021-06-07 09:56:07.779,Парковка,15267,['парковка'],Parking
5268,улица Богдана Хмельницкого,127 корп. 2,2021-06-07 22:40:32.513,срочно школу,15268,"['срочно', 'школа']",Need for a road
5269,улица Баумана,12,2021-06-10 06:25:33.228,Детская площадка в мкр Лента,15269,"['детский', 'площадка', 'мкр', 'лента']",Playground
5270,улица Петра Алексеева,9,2021-06-07 21:05:21.146,"не застраивать МКД вблизи частного сектора ниже улицы Репина
отремонтировать дороги",15270,"['застраивать', 'МКД', 'вблизи', 'частный', 'сектор', 'низко', 'улица', 'репин', 'отремонтировать', 'дорога']",General improvement
5271,улица Лебедева,25,2021-06-12 18:43:09.949,Благоустроить детскую площадку во дворе дома по улице Лебедева дом 25,15271,"['благоустраивать', 'детский', 'площадка', 'двор', 'дом', 'улица', 'лебедев', 'дом', '25']",General improvement
5272,улица Мичмана Павлова,6,2021-06-12 21:39:37.096, Голосуем за благоустройство школьного бульвара и рощи Гузовского. ,15272,"['голосовать', 'благоустройство', 'школьный', 'бульвар', 'роща', 'гузовский']",General improvement
5273,бульвар Юности,21,2021-06-08 21:25:55.037,"Ремонт дома, подъезда. ",15273,"['ремонт', 'дом', 'подъезд']",Major overhaul
