Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
переулок Мельничный,16,2021-06-07 22:00:17.709,до сих пор делают закладки наркотиков,13507,"['сей', 'пора', 'делать', 'закладка', 'наркотик']",Детская площадка
улица Пролетарская,6,2021-06-15 11:36:46.788,Достроить детскую площадку.,13508,"['достраивать', 'детский', 'площадка']",Детская площадка
улица Энгельса,42,2021-06-07 21:06:54.256,"покрытие асфальтом проезую часть дороги 
спилить тополь возле дома  ",13509,"['покрытие', 'асфальт', 'проезый', 'часть', 'дорога', ' \n', 'спиливать', 'тополь', 'возле', 'дом']",Необходимость дороги/тротуара
улица Эльменя,36,2021-06-04 20:32:07.653,видекамеру,13510,['видекамера'],Детская площадка
улица Гагарина Ю.,28,2021-06-08 15:50:56.789,Сделать пешеходную дорожку,13511,"['сделать', 'пешеходный', 'дорожка']",Капитальный ремонт в доме
улица Шумилова,1,2021-06-11 21:43:24.370,"Ремонт дороги и прилегающих территорий, ремонт крыши",13512,"['ремонт', 'дорога', 'прилегать', 'территория', 'ремонт', 'крыша']",Капитальный ремонт в доме
бульвар Эгерский,6 корп. 1,2021-06-06 22:04:08.038,Ремонт в подъезде,13513,"['ремонт', 'подъезд']",Капитальный ремонт в доме
улица Клары Цеткин,16АА,2021-06-08 18:27:07.064,Дорогу по Ленинского Комсомола,13514,"['дорога', 'ленинский', 'комсомол']",Необходимость дороги/тротуара
улица Эльгера,10,2021-06-06 15:44:33.650,Вернуть пенсионный возраст. ,13515,"['вернуть', 'пенсионный', 'возраст']",Общее благоустройство
улица Энгельса,48 корп. 1,2021-06-13 17:01:57.083,"поставить детскую площадку или обустроить 

отремонтировать дороги

нет парковки",13516,"['поставлять', 'детский', 'площадка', 'обустраивать', ' \n', 'отремонтировать', 'дорога', 'парковка']",Общее благоустройство
бульвар Зеленый,2,2021-06-06 20:24:28.950,Благоустроить парковку во дворе,13517,"['благоустраивать', 'парковка', 'двор']",Парковка/школа
улица Эльгера,16,2021-06-15 15:59:26.801,"Ремонт скамеек около подъездов по ул. Эльгера 16
Закончить газонное ограждение с торца и сзади дома",13518,"['ремонт', 'скамейка', 'около', 'подъезд', 'ул', 'эльгер', '16', 'заканчивать', 'газонный', 'ограждение', 'торец', 'сзади', 'дома']",Общее благоустройство
проспект Мира,42,2021-06-06 18:49:12.451,"Ремонт в подъезде
Освещение улиц
Уборка территории",13519,"['ремонт', 'подъезд', 'освещение', 'улица', 'уборка', 'территория']",Общее благоустройство
улица Энгельса,5,2021-06-07 17:19:25.158,Переставить скомейки перед подьездом,13520,"['переставлять', 'скомейка', 'подьезд']",Общее благоустройство
улица Ардалиона Игнатьева,8/12,2021-06-04 15:45:11.974,Отремонтировать спуск к реке Волге от Волжского-2 к пляжу.,13521,"['отремонтировать', 'спуск', 'река', 'волга', 'волжский', '-', '2', 'пляж']",Общее благоустройство
улица Афанасьева,9 корп. 1,2021-06-04 22:39:58.637,"Отремонтировать, доделать тротуар около школы и провести тротуар к домам по ул. Афанасьева 9/1 и 9/5",13522,"['отремонтировать', 'доделывать', 'тротуар', 'около', 'школа', 'проводить', 'тротуар', 'дом', 'ул', 'афанасьева', '9', '/', '1', '9', '/', '5']",Необходимость дороги/тротуара
улица Советская,77,2021-06-08 23:40:31.567,Обещали построить парковку на 30 мест.,13523,"['обещать', 'построить', 'парковка', '30', 'место']",Необходимость дороги/тротуара
бульвар Эгерский,6 корп. 1,2021-06-06 22:02:00.332,Ремонт в подъезде,13524,"['ремонт', 'подъезд']",Капитальный ремонт в доме
проспект Тракторостроителей,73 корп. 1,2021-06-08 22:24:39.184,"Огородить детскую площадку, заменить сломанные горки, качели, песочницы",13525,"['огораживать', 'детский', 'площадка', 'заменять', 'сломать', 'горка', 'качели', 'песочница']",Общее благоустройство
улица Чернышевского,23 корп. 1,2021-06-07 23:31:42.318,"Мало школ, банкоматов",13526,"['мало', 'школа', 'банкомат']",Парковка/школа
улица Калинина,93,2021-06-04 20:40:40.330,"Благоустройство территории сквера Текстильщиков, аллеи ветеранов войны в Афганистане
Ремонт тротуаров по улице Ивана Франко
Пешеходный переход около ДК№19
",13527,"['благоустройство', 'территория', 'сквер', 'текстильщик', 'аллея', 'ветеран', 'война', 'афганистан', 'ремонт', 'тротуар', 'улица', 'иван', 'франко', 'пешеходный', 'переход', 'около', 'ДК', '№', '19']",Общее благоустройство
проспект 9-й Пятилетки,30,2021-06-11 06:18:34.740,"Чтобы снизили пенсионный возраст!!! Женщины - 55, мужчины - 57.",13528,"['снижать', 'пенсионный', 'возраст', '!!! ', 'женщина', ' - ', '55', 'мужчина', ' - ', '57']",Общее благоустройство
улица Зелинского,27,2021-06-07 17:11:28.017,"Нам нужна дорога, детская площадка!",13529,"['нужный', 'дорога', 'детский', 'площадка', '!']",Детская площадка
улица Энгельса,38,2021-06-07 20:13:03.928,1. замена пластиковых окон в подьезде,13531,"['1', 'замена', 'пластиковый', 'окно', 'подьезда']",Общее благоустройство
улица Университетская,8,2021-06-12 22:31:34.552,отремонтировать детскую площадку детям неге играть ,13532,"['отремонтировать', 'детский', 'площадка', 'ребенок', 'нега', 'играть']",Общее благоустройство
улица Яблоневая,60,2021-06-07 22:14:45.362,"убрать мусор по ул.Яблоневая, срубить деревья",13533,"['убирать', 'мусор', 'ул', 'яблоневый', 'срубать', 'дерево']",Общее благоустройство
улица Терешковой,22,2021-06-07 17:47:51.608,Нет детской площадки около дома,13534,"['детский', 'площадка', 'около', 'дом']",Детская площадка
"улица д. Чандрово, ул. Чандровская",58,2021-06-10 22:52:48.857,"Отремонтировать клуб, проложить пешеходный тротуар, провести интернет, поставить аптеки, облагородить кладбище",13535,"['отремонтировать', 'клуб', 'пролагать', 'пешеходный', 'тротуар', 'проводить', 'интернет', 'поставлять', 'аптека', 'облагораживать', 'кладбище']",Общее благоустройство
улица Ахазова,9,2021-06-06 21:50:53.852,"Дороги, детская площадка. ",13536,"['дорога', 'детский', 'площадка']",Детская площадка
улица Университетская,29,2021-06-14 17:41:11.491,"Сделать пешеходный тротуар, иначе машины гоняют бессовестно, детскую площадку во дворе",13537,"['сделать', 'пешеходный', 'тротуар', 'иначе', 'машина', 'гонять', 'бессовестный', 'детский', 'площадка', 'двор']",Общее благоустройство
улица Первомайская,27,2021-06-08 21:10:06.046,Благоустройство двора,13538,"['благоустройство', 'двор']",Необходимость дороги/тротуара
улица Гражданская,109,2021-06-14 18:14:23.296,"Детскую площадку во дворе по ул.Гражданская 109
Отремонтировать дорогу перед подъездом
Парковочные места добавить",13539,"['детский', 'площадка', 'двор', 'ул', 'гражданский', '109', 'отремонтировать', 'дорога', 'подъезд', 'парковочный', 'место', 'добавлять']",Необходимость дороги/тротуара
проспект Ленина,56,2021-06-14 23:33:34.637,"тротуар не сделан 

поставить ограды",13540,"['тротуар', 'сделать', ' \n', 'поставлять', 'ограда']",Общее благоустройство
улица Парижской Коммуны,2,2021-06-06 01:00:23.936,парковку,13541,['парковка'],Парковка/школа
бульвар Речной,4 корп. 2,2021-06-12 21:25:28.637,Благоустройство пляжа и набережной ,13542,"['благоустройство', 'пляж', 'набережная']",Общее благоустройство
улица Гоголя,3,2021-06-06 12:03:29.707,Построить школу.,13543,"['построить', 'школа']",Необходимость дороги/тротуара
улица Ивана Франко,5,2021-06-04 20:59:32.548,"Ремонт в подъезде
Ремонт дорог вл дворе",13544,"['ремонт', 'подъезд', 'ремонт', 'дорогой', 'вл', 'двор']",Ремонт дороги
улица Ленинского Комсомола,40,2021-06-08 20:33:49.561,Детская площадка во дворе,13545,"['детский', 'площадка', 'двор']",Детская площадка
улица И.П.Прокопьева,12,2021-06-08 23:54:42.635,"Набережная, спуск к Волге",13546,"['набережная', 'спуск', 'волга']",Общее благоустройство
улица Энгельса,44,2021-06-07 21:31:48.457,требуется копитальный ремонт дома: крыши подьездов ,13547,"['требоваться', 'копитальный', 'ремонт', 'дома', ': ', 'крыша', 'подьезд']",Общее благоустройство
бульвар А.Миттова,7 корп. 1,2021-06-11 14:20:32.290,"Произвести ямочный ремонт дороги во дворе домов Миттова 7, 7к1,9
Расширить детскую площадку (добавить качели, карусели, горки) прилегающие к этим домам",13548,"['производить', 'ямочный', 'ремонт', 'дорога', 'двор', 'дом', 'миттов', '7', '7к1', '9', 'расширять', 'детский', 'площадка', ' (', 'добавлять', 'качели', 'карусель', 'горка', ') ', 'прилегать', 'дом']",Необходимость дороги/тротуара
улица К.Либкнехта,15,2021-06-06 22:34:34.722,Построить дорогу.,13549,"['построить', 'дорога']",Ремонт дороги
бульвар А.Миттова,5 корп. 2,2021-06-12 06:04:46.315,Улучшить состояние дорог от нашего дома до остановки и отремонтировать в скором времени дорогу по ул.Гражданская,13550,"['улучшать', 'состояние', 'дорога', 'наш', 'дом', 'остановка', 'отремонтировать', 'скорый', 'время', 'дорога', 'ул', 'гражданский']",Необходимость дороги/тротуара
улица Ленинского Комсомола,18,2021-06-08 16:25:50.924,Автопарковка между ДОУ 83 и домом №18 (очень необходима жильцам).,13551,"['автопарковка', 'доу', '83', 'дом', '№', '18', ' (', 'очень', 'необходимый', 'жилец', ')']",Необходимость дороги/тротуара
улица Декабристов,16,2021-06-05 19:25:24.571,"Детская площадка
Ремонт дорог
",13552,"['детский', 'площадка', 'ремонт', 'дорогой']",Необходимость дороги/тротуара
улица Советская,21,2021-06-12 12:43:09.082,"Устали бороться с 100% двойником, суды не решают проблему. Арестовывают квартиру и счета. Боремся уже 2 года. Просим помощи.",13553,"['уставать', 'бороться', '100', '% ', 'двойник', 'суд', 'решать', 'проблема', 'арестовывать', 'квартира', 'счет', 'бороться', '2', 'год', 'просить', 'помощь']",Необходимость дороги/тротуара
проспект Тракторостроителей,63/21,2021-06-10 01:13:11.463,"Благодарность за обустройство детских площадок, дороги и стоянки",13554,"['благодарность', 'обустройство', 'детский', 'площадка', 'дорога', 'стоянка']",Общее благоустройство
улица Композитора Максимова,9,2021-06-05 21:58:50.559,вырубить деревья,13555,"['вырубать', 'дерево']",Общее благоустройство
улица Заводская,10,2021-06-08 07:15:31.737,"Устранить лужу перед домом, положить асфальт",13556,"['устранять', 'лужа', 'дом', 'полагать', 'асфальт']",Общее благоустройство
улица Советская,65,2021-06-08 21:14:48.290,Дорога к детскому саду №7,13557,"['дорога', 'детский', 'сад', '№', '7']",Детская площадка
бульвар Речной,4 корп. 2,2021-06-12 21:22:23.422,"Хотелось бы, чтобы благоустроили Набережную г.Новочебоксарска  и городской пляж",13558,"['хотеться', 'благоустраивать', 'набережная', 'г', 'новочебоксарск', 'городской', 'пляж']",Общее благоустройство
улица Лукина,4,2021-06-13 11:42:54.631,"- взрослая поликлиника
- магазин или универмаг",13559,"['- ', 'взрослый', 'поликлиника', '- ', 'магазин', 'универмаг']",Общее благоустройство
проспект Мира,14,2021-06-04 21:50:48.018,"Благоустройство двора
Детская площадка",13560,"['благоустройство', 'двор', 'детский', 'площадка']",Общее благоустройство
проспект Мира,14,2021-06-04 21:51:36.043,Детская площадка во дворе,13561,"['детский', 'площадка', 'двор']",Детская площадка
проспект И.Я.Яковлева,8,2021-06-12 07:49:15.753,Плохая дорога вокруг дома,13562,"['плохой', 'дорога', 'вокруг', 'дом']",Ремонт дороги
проезд Северный,20в,2021-06-06 13:27:52.807,Отремонтировать дорогу п.Сосновка - п.Северный,13563,"['отремонтировать', 'дорога', 'п', 'сосновка', ' - ', 'п', 'северный']",Необходимость дороги/тротуара
улица Ленинского Комсомола,27 корп. 1,2021-06-08 19:10:12.180,Озеленение территории,13564,"['озеленение', 'территория']",Капитальный ремонт в доме
улица Энергетиков,30,2021-06-06 20:22:39.237,Починить крышу,13565,"['починять', 'крыша']",Общее благоустройство
проспект Московский,38 корп. 1,2021-06-05 00:01:50.818,"Построить 3ех полосную дорогу от Афанасьева до Московского проспекта, построить развязки.",13566,"['построить', '3ех', 'полосной', 'дорога', 'афанасьев', 'московский', 'проспект', 'построить', 'развязка']",Необходимость дороги/тротуара
улица Ахазова,6,2021-06-12 16:56:40.197,Детская  площадка с качелями. ,13567,"['детский', 'площадка', 'качели']",Детская площадка
улица Советская,77,2021-06-08 22:33:51.148,Ликвидировать частные парковки,13568,"['ликвидировать', 'частный', 'парковка']",Парковка/школа
бульвар Зеленый,9,2021-06-05 22:03:38.550,Сделать покрытие на детской площадке,13569,"['сделать', 'покрытие', 'детский', 'площадка']",Детская площадка
улица Строителей,23 корп. 1,2021-06-05 10:34:58.862,Построить сад во дворе,13570,"['построить', 'сад', 'двор']",Необходимость дороги/тротуара
улица Болгарстроя,9/11,2021-06-10 16:29:40.903,Благоустроить детские площадки. Провести ремонт дороги.,13571,"['благоустраивать', 'детский', 'площадка', 'проводить', 'ремонт', 'дорога']",Необходимость дороги/тротуара
улица Грасиса,11,2021-06-10 15:37:03.072,"дороги плохие, сделать лестницу ",13572,"['дорога', 'плохой', 'сделать', 'лестница']",Общее благоустройство
улица Грасиса,11,2021-07-06 12:55:04.335,"Дороги нет, сделайте лестницу.",13573,"['дорога', 'сделать', 'лестница']",Общее благоустройство
улица 10 Пятилетки,46,2021-06-09 23:16:55.781,Благоустройство ул 10 пят-ки,13574,"['благоустройство', 'ул', '10', 'пята', '-', 'ки']",Общее благоустройство
улица Эльгера,14,2021-06-15 15:21:38.423,"Ускорить ремонт 1 подъезда по ул. Эльгера д. 14
Отремонтировать дороги во дворах избирательного участка 2016",13575,"['ускорять', 'ремонт', '1', 'подъезд', 'ул', 'эльгер', 'д', '14', 'отремонтировать', 'дорога', 'двор', 'избирательный', 'участок', '2016']",Общее благоустройство
улица Афанасьева,7 корп. 1,2021-06-06 00:54:30.521,Обустройство детской площадки по адресу ул. Афанасьева 7/1,13576,"['обустройство', 'детский', 'площадка', 'адрес', 'ул', 'афанасьев', '7', '/', '1']",Общее благоустройство
улица Розы Люксембург,8 корп. 1,2021-06-06 12:24:52.508,Сделать тротуар от дома до детского сада.,13577,"['сделать', 'тротуар', 'дом', 'детский', 'сад']",Детская площадка
проспект Мира,23,2021-06-09 00:11:42.889,благоустроить двор ,13578,"['благоустраивать', 'двор']",Общее благоустройство
проспект Ленина,56,2021-06-14 23:47:20.842,заземление в домах нет ,13579,"['заземление', 'дом']",Капитальный ремонт в доме
улица Гагарина Ю.,30,2021-06-08 15:29:01.057,"Ремонт тротуара
Ремонт крыльца",13580,"['ремонт', 'тротуар', 'ремонт', 'крыльцо']",Капитальный ремонт в доме
улица Композитора Максимова,5,2021-07-06 13:06:22.470,"Капитальный ремонт в доме Максимова 5.
",13581,"['капитальный', 'ремонт', 'дом', 'максимов', '5']",Общее благоустройство
переулок Химиков,2,2021-06-08 06:43:05.383,Жители дома просят входную дверь (железную) в подъезд №2 и ремонт кровли,13582,"['житель', 'дома', 'просить', 'входной', 'дверь', ' (', 'железный', ') ', 'подъезд', '№', '2', 'ремонт', 'кровля']",Капитальный ремонт в доме
улица Академика РАН Х.М.Миначёва,25,2021-06-12 20:09:47.626,Школу в нашем районе ,13583,"['школа', 'наш', 'район']",Необходимость дороги/тротуара
улица Солнечная,7,2021-06-12 09:23:10.466,Уборка сзади дома на территории торгового дома Риал. Сделать ламкочки на светофоре,13584,"['уборка', 'сзади', 'дом', 'территория', 'торговый', 'дом', 'риал', 'сделать', 'ламкочка', 'светофор']",Необходимость дороги/тротуара
улица Лукина,3,2021-06-17 11:52:30.329,"Детские площадки очень плохо оснащены, не интересно играть, Парковочных мест мало, аллея не доделана который год",13585,"['детский', 'площадка', 'очень', 'плохо', 'оснащать', 'интересно', 'играть', 'парковочный', 'место', 'мало', 'аллея', 'доделывать', 'который', 'год']",Необходимость дороги/тротуара
улица Энтузиастов,35,2021-06-11 13:09:59.090,На остановке Хлебозавод-Чернышевского поставить электронное транспортное табло,13586,"['остановка', 'хлебозавод', '-', 'чернышевский', 'поставлять', 'электронный', 'транспортный', 'табло']",Общее благоустройство
улица Космонавта Николаева А.Г.,41,2021-06-05 11:32:06.312,Повышение зарплат бюджетникам,13587,"['повышение', 'зарплата', 'бюджетник']",Общее благоустройство
улица Мичмана Павлова,7,2021-06-04 14:03:51.751,"В 2007 г. вышла на пенсию, но трудовой стаж закрыли в 2002 г (не учли зарплату за последние 5 лет). Не хотят пересчитывать пенсию.",13588,"['2007', 'г', 'выходить', 'пенсия', 'трудовой', 'стаж', 'закрывать', '2002', 'г', ' (', 'учитывать', 'зарплата', 'последний', '5', 'год', ')', 'хотеть', 'пересчитывать', 'пенсия']",Общее благоустройство
бульвар Зеленый,3а корп. 1,2021-06-06 10:06:26.956,Нужны урны!,13589,"['нужный', 'урна', '!']",Общее благоустройство
улица Лукина,4,2021-06-12 20:17:42.546,"парковка 
школа",13590,"['парковка', ' \n', 'школа']",Парковка/школа
улица Чернышевского,29,2021-06-07 23:12:14.773,Банкомат Сбербанк,13591,"['банкомат', 'сбербанк']",Детская площадка
улица Гагарина Ю.,30,2021-06-08 12:40:51.970,"Детская площадка
Ремонт тротуара",13592,"['детский', 'площадка', 'ремонт', 'тротуар']",Общее благоустройство
улица Богдана Хмельницкого,113,2021-06-07 22:36:56.028,благоустройство дет.площадки во дворе д.113,13593,"['благоустройство', 'дет', 'площадка', 'двор', 'д', '113']",Необходимость дороги/тротуара
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:32:02.058,"спортивную площадку, аллею, парк",13595,"['спортивный', 'площадка', 'аллея', 'парк']",Детская площадка
улица П.В.Дементьева,18,2021-06-09 11:12:36.323,выдавать денежную компенсацию вместо земельного участка многодетным. ,13596,"['выдавать', 'денежный', 'компенсация', 'вместо', 'земельный', 'участок', 'многодетный']",Общее благоустройство
улица П.В.Дементьева,18,2021-06-08 10:16:59.168,"построить школу, дет.площадки,",13597,"['построить', 'школа', 'дет', 'площадка']",Необходимость дороги/тротуара
проспект Ленина,49,2021-06-07 21:49:04.864,"освещения во дворе
освещение на детской площадке ",13598,"['освещение', 'двор', 'освещение', 'детский', 'площадка']",Детская площадка
проезд Соляное,12,2021-06-08 15:19:00.204,"Нужна аптека и магазин ""Пятерочка""",13599,"['нужный', 'аптека', 'магазин', ' ""', 'пятерочка']",Общее благоустройство
улица Винокурова,4,2021-06-14 13:33:35.402,"Отсутствует парковка, люди паркуются на газонах",13600,"['отсутствовать', 'парковка', 'человек', 'парковаться', 'газон']",Парковка/школа
улица П.В.Дементьева,4 корп. 2,2021-06-17 09:58:39.826,Просим временную дорогу от торцов домов к дороге между МКР Сливовая и Апельсиновая. Сделать транспортное сообщение между наши районом и ЮЗ раоном.,13601,"['просить', 'временный', 'дорога', 'торец', 'дом', 'дорога', 'МКР', 'сливовый', 'апельсиновый', 'сделать', 'транспортный', 'сообщение', 'наш', 'район', 'юз', 'раон']",Общее благоустройство
улица Бичурина,8,2021-06-05 22:24:58.532,"Отремонтировать дорогу, поставить скамейки. Открыть баню.",13602,"['отремонтировать', 'дорога', 'поставлять', 'скамейка', 'открывать', 'баня']",Необходимость дороги/тротуара
улица Шумилова,11,2021-06-11 23:27:02.490,Отремонтировать асфальт позади дома №9 по Шумилова,13603,"['отремонтировать', 'асфальт', 'позади', 'дома', '№', '9', 'шумилов']",Необходимость дороги/тротуара
улица Алексея Талвира,6,2021-06-05 23:55:28.058,Требуется установить новую детскую площадку. Обновить тротуар вдоль дома № 4. ,13604,"['требоваться', 'устанавливать', 'новый', 'детский', 'площадка', 'обновлять', 'тротуар', 'вдоль', 'дом', '№', '4']",Общее благоустройство
улица Советская,45,2021-06-08 21:27:05.268,"Упростить прием в школу искусств, поставить спортивные тренажеры",13605,"['упрощать', 'прием', 'школа', 'искусство', 'поставлять', 'спортивный', 'тренажер']",Общее благоустройство
улица Пионерская,6 корп. 3,2021-06-05 16:39:26.916,"Спасибо за фонтаны, но хотелось бы рядом скамейки",13606,"['спасибо', 'фонтан', 'хотеться', 'рядом', 'скамейка']",Общее благоустройство
бульвар Эгерский,32,2021-06-07 00:22:40.436,Ремонт дома (лестничные площадки),13607,"['ремонт', 'дом', ' (', 'лестничный', 'площадка']",Капитальный ремонт в доме
улица Ленинского Комсомола,58,2021-06-08 00:11:31.890,Обновить детскую площадку,13608,"['обновлять', 'детский', 'площадка']",Детская площадка
бульвар Эгерский,18,2021-06-06 21:40:54.146,Благоустройство двора,13609,"['благоустройство', 'двор']",Необходимость дороги/тротуара
"улица Чандрово, Совхозная",5,2021-06-09 23:10:34.126,"Ремонт дороги через Сюктерку в сторону ул.Совхозная
Ремонт колодцев
Ремонт мостов
Ремонт клуба
Ремонт дороги ул.Совхозная",13610,"['ремонт', 'дорога', 'сюктерка', 'сторона', 'ул', 'совхозный', 'ремонт', 'колодец', 'ремонт', 'мост', 'ремонт', 'клуб', 'ремонт', 'дорога', 'ул', 'совхозный']",Необходимость дороги/тротуара
бульвар Юности,4,2021-06-13 14:11:38.156,"1. Реконструировать детскую площадку полностью. 
2. Передом домами 4 и  5 площадки, посмотреть ( Б.Юности) ",13611,"['1', 'реконструировать', 'детский', 'площадка', 'полностью', ' \n', '2', 'дом', '4', '5', 'площадка', 'посмотреть', ' ( ', 'б', 'юность']",Необходимость дороги/тротуара
проспект Чебоксарский,25,2021-06-08 23:40:18.665,Спуск к Волге,13612,"['спуск', 'волга']",Парковка/школа
улица Советская,5,2021-06-06 21:06:35.269,"За домом привести в порядок, сделать тротуар. На столбе коробка гудит",13613,"['дом', 'приводить', 'порядок', 'сделать', 'тротуар', 'столб', 'коробка', 'гудеть']",Необходимость дороги/тротуара
проспект Ленина,51 корп. 1,2021-06-08 14:32:43.196,"сделать косметический ремонт в подьезде , поменять окно в подьезде , поставить скамейки возле подьезда",13614,"['сделать', 'косметический', 'ремонт', 'подьезде', ' , ', 'поменять', 'окно', 'подьезде', ' , ', 'поставлять', 'скамейка', 'возле', 'подьезд']",Общее благоустройство
улица Советская,35,2021-06-12 08:33:14.431,"Благоустроить Рощу , обновить некоторые элементы. Старый дизайн нужно обновить",13615,"['благоустраивать', 'роща', ' , ', 'обновлять', 'некоторый', 'элемент', 'старый', 'дизайн', 'нужно', 'обновлять']",Общее благоустройство
улица Гузовского,12/15,2021-06-04 13:27:59.006,"По адресу ул. Гузовского, дом 12/15 убрать мусорные баки, установить детскую площадку, отремонтировать подъезды.",13616,"['адрес', 'ул', 'гузовский', 'дом', '12', '/', '15', 'убирать', 'мусорный', 'бак', 'устанавливать', 'детский', 'площадка', 'отремонтировать', 'подъезд']",Общее благоустройство
улица Энгельса,38,2021-06-07 19:48:50.107,"1 замена окон в подьезде
2. ремонт фасада дома
3. строительство парковочных мест для автомобилей ",13617,"['1', 'замена', 'окно', 'подьезда', '2', 'ремонт', 'фасад', 'дом', '3', 'строительство', 'парковочный', 'место', 'автомобиль']",Необходимость дороги/тротуара
улица Академика В.Н.Челомея,1,2021-06-08 20:58:47.181,"ТЦ, Сквер",13618,"['тц', 'сквер']",Общее благоустройство
улица Воинов интернационалистов,11,2021-06-05 14:58:24.359,Смена бордюров,13619,"['смена', 'бордюр']",Капитальный ремонт в доме
улица Ахазова,11,2021-06-07 11:49:07.522,Для детей в школах внешкольных занятий больше надо бы. ,13620,"['ребенок', 'школа', 'внешкольный', 'занятие']",Общее благоустройство
улица Винокурова,57,2021-06-08 21:37:51.782,"Бетонные блоки не закопали, не закреплены - травмоопасны на детской площадке. Во дворах плохие дороги. Колледж пустует.",13621,"['бетонный', 'блок', 'закопать', 'закреплять', ' - ', 'травмоопасный', 'детский', 'площадка', 'двор', 'плохой', 'дорога', 'колледж', 'пустовать']",Необходимость дороги/тротуара
проспект Мира,36,2021-06-06 19:07:03.978,"Улучшение козырька
Ремонт в подъезде
Замена труб",13622,"['улучшение', 'козырек', 'ремонт', 'подъезд', 'замена', 'труба']",Капитальный ремонт в доме
улица Первомайская,34,2021-06-09 06:46:15.980,Ремонт дороги во дворе,13623,"['ремонт', 'дорога', 'двор']",Ремонт дороги
проспект Мира,23А,2021-06-09 11:03:19.758,"поставить новую детскую площадку
",13624,"['поставлять', 'новый', 'детский', 'площадка']",Детская площадка
улица Академика РАН Х.М.Миначёва,25,2021-06-17 12:20:22.172,"Школа в нашем районе
Нужна транспортная развязка на Ядринское шоссе",13625,"['школа', 'наш', 'район', 'нужный', 'транспортный', 'развязка', 'ядринский', 'шоссе']",Общее благоустройство
улица Докучаева,4,2021-06-07 16:56:39.083,ремонт дороги,13626,"['ремонт', 'дорога']",Ремонт дороги
улица Мичмана Павлова,54,2021-06-14 18:13:41.916,"Прошу благоустроить территорию д/с 136 освещение, асфальт, забор, окна",13627,"['просить', 'благоустраивать', 'территория', 'д', '/', '136', 'освещение', 'асфальт', 'забор', 'окно']",Необходимость дороги/тротуара
улица Эльменя,18,2021-06-04 21:14:58.968,выбивалка для ковров,13628,"['выбивалка', 'ковер']",Парковка/школа
проспект Тракторостроителей,73,2021-06-16 15:45:45.956,Обновить детскую площадку. Детям негде играть,13629,"['обновлять', 'детский', 'площадка', 'ребенок', 'негде', 'играть']",Общее благоустройство
улица Чернышевского,29,2021-06-08 10:04:56.093,Установить банкомат,13630,"['устанавливать', 'банкомат']",Общее благоустройство
улица Строителей,52,2021-06-05 20:30:10.863,"Хотим отремонтировать дороги, нет урн",13631,"['хотеть', 'отремонтировать', 'дорога', 'урна']",Ремонт дороги
улица Энгельса,1 корп. 3,2021-06-09 18:54:52.556,"я хочу в больницу на ул.Ленина ( рядом с ост наци библ) переходить приходится 2 дороги, а одна из них без светофоров ( около ул.Энгельса 1 )",13632,"['хотеть', 'больница', 'ул', 'ленин', ' ( ', 'рядом', 'ост', 'наци', 'библа', ') ', 'переходить', 'приходиться', '2', 'дорога', 'светофор', ' ( ', 'около', 'ул', 'энгельс', '1']",Необходимость дороги/тротуара
улица Академика Королева,7,2021-06-06 22:38:39.310,"освещение
много бомжей и алкоголиков, нарушителей порядка",13633,"['освещение', 'бомж', 'алкоголик', 'нарушитель', 'порядок']",Необходимость дороги/тротуара
улица Чернышевского,36,2021-06-08 11:54:39.873,"Перенести пешеходный переход с остановки ближе к д.40 по ул.Чернышевского.
Благоустроить детскую площадку во дворе по ул.Чернышевского,д.36",13634,"['перенести', 'пешеходный', 'переход', 'остановка', 'близко', 'д', '40', 'ул', 'чернышевский', 'благоустраивать', 'детский', 'площадка', 'двор', 'ул', 'чернышевский', 'д', '36']",Общее благоустройство
улица Терешковой,6,2021-06-10 15:11:54.839,"Благоустройство микрорайона. Большое количество бесхозных собак, которые бросаются и на взрослых и на детей. Примите меры!",13635,"['благоустройство', 'микрорайон', 'большой', 'количество', 'бесхозный', 'собака', 'который', 'бросаться', 'взрослый', 'ребенок', 'принимать', 'мера', '!']",Необходимость дороги/тротуара
проспект Ленина,19,2021-06-16 23:32:18.035,"необходимо установть знак вьезд запрещен . у вьезда во двор  т.к двор стал проезжей часть 
весь день на машинах везут детей в гимназию "" и из гимназии , во дворе не возможно проити ",13636,"['необходимо', 'установть', 'знак', 'вьезд', 'запрещать', 'вьезда', 'двор', 'т', 'двор', 'становиться', 'проезжий', 'часть', ' \n', 'весь', 'день', 'машина', 'везти', 'ребенок', 'гимназия', ' "" ', 'гимназия', ' , ', 'двор', 'возможно', 'проити']",Общее благоустройство
улица Гражданская,109,2021-06-11 11:46:21.128,Установить банкомат Сбербанка на остановке (или недалеко от остановки) Мате Залка,13637,"['устанавливать', 'банкомат', 'сбербанк', 'остановка', ' (', 'недалеко', 'остановка', ') ', 'мат', 'залка']",Общее благоустройство
улица О.Беспалова,1,2021-06-08 12:39:46.732,"Установить пандусы, косметический ремонт подъезда",13638,"['устанавливать', 'пандус', 'косметический', 'ремонт', 'подъезд']",Общее благоустройство
