"id","text_appeal","adress","home","text_appeal_lem","type","lat","lng","created_at","updated_at"
"14646","Шум от молодежи ночью на детских площадках , почаще проверял ночной патруль ","улица Ленинского Комсомола","25 корп. 1","""['шум', 'молодежь', 'ночь', 'детский', 'площадка', ' , ', 'часто', 'проверять', 'ночной', 'патруль']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14647","Отремонтировать дорогу во дворах. ","улица Ахазова","7","""['отремонтировать', 'дорога', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14648","Ремонт дорог, сделать освещение и канализацию","улица Светлая","15В","""['ремонт', 'дорогой', 'сделать', 'освещение', 'канализация']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14649","Требуем сделать дороги, тратуары, а то голосовать не будем!","улица Первомайская","8","""['требовать', 'сделать', 'дорога', 'тратуар', 'голосовать', '!']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14650","школу
парк","улица П.В.Дементьева","6 корп. 2","""['школа', 'парк']""","school",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14651","Отремонтировать клуб, провести интернет","улица д. Чандрово, ул. Чандровская","5","""['отремонтировать', 'клуб', 'проводить', 'интернет']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14652","Дорога","проспект 9-й Пятилетки","22","""['дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14653","Расширить беговую-велосипедную дорожку по Ядринскому шоссе на 1 метр.","улица Афанасьева","19","""['расширять', 'беговой', '-', 'велосипедный', 'дорожка', 'ядринский', 'шоссе', '1', 'метр']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14654","Построить спортивную площадку, снести старый дом","улица Богдана Хмельницкого","10 корп. 1","""['построить', 'спортивный', 'площадка', 'снести', 'старый', 'дом']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14655","Построить спортивную площадку. Снести старый дом.","улица Богдана Хмельницкого","10 корп. 1","""['построить', 'спортивный', 'площадка', 'снести', 'старый', 'дом']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14656","Организовать вклад в Сбербанке ""на похороны"" без сгорания счета.","проспект Московский","38 корп. 2","""['организовывать', 'вклад', 'сбербанк', ' \""', 'похороны', '\"" ', 'сгорание', 'счет']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14657","сделать дет.площадку для детей частного сектора (перекресток Фучика-Б.Хмельницкого)","улица Салтыкова-Щедрина","9","""['сделать', 'дет', 'площадка', 'ребенок', 'частный', 'сектор', ' (', 'перекресток', 'фучик', '-', 'б', 'хмельницкий']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14658","На детской площадке навести порядок","улица Винокурова","37","""['детский', 'площадка', 'навещать', 'порядок']""","Playground",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14659","Благоустройство 10 -й Пятилетки","улица 10 Пятилетки","46","""['благоустройство', '10', ' -', 'й', 'пятилетка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14660","За реконструкцию школьного бульвара","улица Мичмана Павлова","28","""['реконструкция', 'школьный', 'бульвар']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14661","За реконструкцию школьного бульвара ","улица Мичмана Павлова","28","""['реконструкция', 'школьный', 'бульвар']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14662","Поставить ограждения вокруг клумб и при входе в подъезд высотой 50 см","улица Социалистическая","2 корп. 1","""['поставлять', 'ограждение', 'вокруг', 'клумба', 'вход', 'подъезд', 'высота', '50', 'см']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14663","Убрать бар ""Веселая встреча"", т.к. по ночам сильно шумят, невозможно спать","улица Молодежная","17","""['убирать', 'бар', ' \""', 'веселый', 'встреча', '\"", ', 'т', 'ночь', 'сильно', 'шуметь', 'невозможно', 'спать']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14664","Добавить тренажеры","проспект Тракторостроителей","81","""['добавлять', 'тренажер']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14665","Школа очень нужна
Аллею достроить
Мало мест в саду","улица Лукина","3","""['школа', 'очень', 'нужный', 'аллея', 'достраивать', 'мало', 'место', 'сад']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14666","-","улица Привосточная","24А","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:37","2021-10-30 11:06:37"
"14667","школу, магазины, парк","улица Академика В.Н.Челомея","1","""['школа', 'магазин', 'парк']""","school",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14668","После зимы по ул. Энергетиков не убрали мусор, прошу убрать","улица Волжская","29","""['зима', 'ул', 'энергетик', 'убирать', 'мусор', 'просить', 'убирать']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14669","За благоустройство Рощи Гузовского, Школьного бульвара
 Благоустройство детской площадки по б-ру Юности 3  и асфальт дорог!!!","бульвар Юности","3","""['благоустройство', 'роща', 'гузовский', 'школьный', 'бульвар', 'благоустройство', 'детский', 'площадка', 'б', '-', 'ру', 'юность', '3', 'асфальт', 'дорога', '!!!']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14670","Спилить старые деревья(падают на жильцов и малые постройки)","улица Пролетарская","5","""['спиливать', 'старый', 'дерево', '(', 'падать', 'жилец', 'малый', 'постройка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14671","Благоустроить детскую площадку","улица Советская","39","""['благоустраивать', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14672","Уменьшить оплату за коммунальные услуги","улица Олега Кошевого","9 корп. 1","""['уменьшать', 'оплата', 'коммунальный', 'услуга']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14673","сбербанк, школа","улица П.В.Дементьева","7 корп. 1","""['сбербанк', 'школа']""","Playground",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14674","Детская площадка
Вырубить сухие деревья","улица Космонавта Николаева А.Г.","40 корп. 1","""['детский', 'площадка', 'вырубать', 'сухой', 'дерево']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14675","убрать заправку","улица Богдана Хмельницкого","49","""['убирать', 'заправка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14676","В подъезде разбиты стекла в окнах, плитка положена на песок-все разъехалось(тротуар)","бульвар Гидростроителей","2","""['подъезд', 'разбивать', 'стекло', 'окно', 'плитка', 'полагать', 'песок', '-', 'разъехаться', '(', 'тротуар']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14677","Разберитесь с сокращением рабочих мест в МБДОУ №47","улица п. Сосновка, ул. Поселковая","14А","""['разбираться', 'сокращение', 'рабочий', 'место', 'мбдоу', '№', '47']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14678","Построить мост через овраг. Построить новую школу. Построить детские площадки возле дома номер 7.","улица Болгарстроя","5","""['построить', 'мост', 'овраг', 'построить', 'новый', 'школа', 'построить', 'детский', 'площадка', 'возле', 'дом', 'номер', '7']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14679","Сделать выезд со двора, а то не развернуться, нет парковки вообще, облагородить детскую площадку. В подъездах не проводится влажная уборка, нет выхода воды около подъезда (стоячая вода),  нужен канализационный люк или сделать новый.","улица Советская","77","""['сделать', 'выезд', 'двор', 'развертываться', 'парковка', 'вообще', 'облагораживать', 'детский', 'площадка', 'подъезд', 'проводиться', 'влажный', 'уборка', 'выход', 'вода', 'около', 'подъезд', ' (', 'стоячий', 'вода', '),  ', 'нужный', 'канализационный', 'люк', 'сделать', 'новый']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14680","Аллею доделать 
Школа очень нужна ","улица Лукина","3","""['аллея', 'доделывать', ' \\n', 'школа', 'очень', 'нужный']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14681","Просьба установить детскую и спортивную площадку во дворе дома Юности д. 3 . Пешеходный переход от ТЦ Питер к лестнице к б-ру Юности","бульвар Юности","3","""['просьба', 'устанавливать', 'детский', 'спортивный', 'площадка', 'двор', 'дом', 'юность', 'д', '3', 'пешеходный', 'переход', 'тц', 'питер', 'лестница', 'б', '-', 'ру', 'юность']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14682","Благоустроить двор, озеленить микрорайон.","улица Розы Люксембург","4","""['благоустраивать', 'двор', 'озеленять', 'микрорайон']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14683","Собак много, мало малых форм","улица Терешковой","4","""['собака', 'мало', 'малый', 'форма']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14684","Благоустройство двора и тротуара
Детская площадка","улица 324 Стрелковой дивизии","21","""['благоустройство', 'двор', 'тротуар', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14685","ремонт дороги на ахазова. ","улица Ахазова","7","""['ремонт', 'дорога', 'ахазов']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14686","Благоустройство подземного перехода. Благоустройство детских площадок. Отремонтировать дорогу возле института экологии.","проспект Мира","88Б","""['благоустройство', 'подземный', 'переход', 'благоустройство', 'детский', 'площадка', 'отремонтировать', 'дорога', 'возле', 'институт', 'экология']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14687","Сделать безопасными детские площадки. Сделать что то с бродячими собаками.","улица Гоголя","5 корп. 2","""['сделать', 'безопасный', 'детский', 'площадка', 'сделать', 'бродячий', 'собака']""","Playground",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14688","Сделать ремонт в подъезде №1 по адресу ул. Красина 2.","улица Красина","2","""['сделать', 'ремонт', 'подъезд', '№', '1', 'адрес', 'ул', 'красин', '2']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14689","Ремонт детской площадки ","улица Пролетарская","5","""['ремонт', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14690","Постройка детской площадки","улица Пролетарская","5","""['постройка', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14691","Ремонт крыши","улица Ленинского Комсомола","36","""['ремонт', 'крыша']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14692","сделать тратуар по пр.мира","проспект Мира","37","""['сделать', 'тратуар', 'пр', 'мир']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14693","Решить проблему бродячих собак","улица Социалистическая","7 корп. 2","""['решать', 'проблема', 'бродячий', 'собака']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14694","Улучшить набережную","бульвар Речной","3 корп. 1","""['улучшать', 'набережная']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14695","Облагородить детскую площадку","улица Советская","8","""['облагораживать', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14696","Сделать детскую площадку","улица О.Беспалова","1","""['сделать', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14697","Нужна пешеходная дорожка по адресу ул. Афанасьева 1.","улица Афанасьева","1","""['нужный', 'пешеходный', 'дорожка', 'адрес', 'ул', 'афанасьев', '1']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14698","Благоустроить двор возле дома 21 по улице Пролетарской.","проспект Тракторостроителей","21","""['благоустраивать', 'двор', 'возле', 'дом', '21', 'улица', 'пролетарский']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14699","Обустройство детской площадки в п. Октябрьский.","улица Октябрьский, Лесхозная","22","""['обустройство', 'детский', 'площадка', 'п', 'октябрьский']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14700","Просьба отремонтировать дворовую дорогу по ул.Винокурова 17,19,13, в районе магазина Поларис.","улица Винокурова","17","""['просьба', 'отремонтировать', 'дворовый', 'дорога', 'ул', 'винокуров', '17', '19', '13', 'район', 'магазин', 'полариса']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14701","транспорт во все стороны
школу, аптека, магазины","улица Академика В.Н.Челомея","1","""['транспорт', 'весь', 'сторона', 'школа', 'аптека', 'магазин']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14702","школа, аптека,","улица Академика В.Н.Челомея","1","""['школа', 'аптека']""","school",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14703","Провести свет и газ, сделать дорогу, построить детскую площадку","улица 1-ая Путепроводная","54","""['проводить', 'свет', 'газ', 'сделать', 'дорога', 'построить', 'детский', 'площадка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14704","Ремонт в подьезде 
Поменять систему электроснабжения ","улица Энгельса","40","""['ремонт', 'подьезда', ' \\n', 'поменять', 'система', 'электроснабжение']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14705","Благоустроить Обиковскую рощу.","улица Ашмарина","11","""['благоустраивать', 'обиковский', 'роща']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14706","Снизить квартплату.","улица Ашмарина","34А","""['снижать', 'квартплата']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14707","Снизить тарифы за мусор.","улица Ашмарина","34А","""['снижать', 'тариф', 'мусор']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14708","Спилить деревья на стоянке
Благоустройство дет. площадки.","бульвар Эгерский","27","""['спиливать', 'дерево', 'стоянка', 'благоустройство', 'дет', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14709","Благоустройство дет. площадки.
Спилить деревья на стоянке","бульвар Эгерский","27","""['благоустройство', 'дет', 'площадка', 'спиливать', 'дерево', 'стоянка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14710","Благоустройство около дома. Отремонтировать дорогу по ул. 2-ая Коммунальная Слобода.","улица 2-я Коммунальная Слобода","7","""['благоустройство', 'около', 'дом', 'отремонтировать', 'дорога', 'ул', '2', '-', 'ая', 'коммунальный', 'слобода']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14711","Обновить детскую площадку перед домом.","улица Кадыкова","6","""['обновлять', 'детский', 'площадка', 'дом']""","Playground",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14712","Асфальтированный тротуар от 1-9 дома 
Детская площадка
","переулок Молодежный","3","""['асфальтировать', 'тротуар', '1', '-', '9', 'дом', ' \\n', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14713","Закопать яму около фитнес-клуба ""Цитрус""","улица Лебедева","3","""['закопать', 'яма', 'около', 'фитнес-клуб', ' \""', 'цитрус']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14714","Прошу благоустроить детскую площадку.","улица Хузангая","29","""['просить', 'благоустраивать', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14715","Необходимы защитные сооружения вдоль железной дороги от дома и шума(дома 88б,100) Отремонтировать крышу школы №57.Заменить окна в школе №57","проспект Мира","88Б","""['необходимый', 'защитный', 'сооружение', 'вдоль', 'железный', 'дорога', 'дом', 'шум', '(', 'дома', '88б', '100', ') ', 'отремонтировать', 'крыша', 'школа', '№', '57', 'заменять', 'окно', 'школа', '№', '57']""","Need for a road",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14716","видеокамеру","улица Короленко","6","""['видеокамера']""","General improvement",NULL,NULL,"2021-10-30 11:06:37","2021-10-30 20:44:43"
"14717","Обновить детский городок","проспект Тракторостроителей","67","""['обновлять', 'детский', 'городок']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14718","Разбить парк возле дома в районе центральном т.к район микрорайон Благовещенский большой.","улица Байдула","7","""['разбивать', 'парк', 'возле', 'дом', 'район', 'центральный', 'т', 'район', 'микрорайон', 'благовещенский', 'большой']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14719","Отремонтиовать двери.","улица А.Никитина","9","""['отремонтиовать', 'дверь']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14720","Обновить детские площадки, облагородить Обиковскую рощу.","улица Башмачникова","18","""['обновлять', 'детский', 'площадка', 'облагораживать', 'обиковский', 'роща']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14721","Создание аллеи по переулку Химиков ,д.2.
Организовать детские площадки","переулок Химиков","2","""['создание', 'аллея', 'переулок', 'химик', ' ,', 'д', '2', 'организовывать', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14722","Уважаемый Андрей Юрьевич! Просим решить вопрос о повышении пенсии! ","улица Гузовского","3","""['уважаемый', 'андрей', 'юрьевич', '! ', 'просить', 'решать', 'вопрос', 'повышение', 'пенсия', '!']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14723","Сделать тротуар на повороте дома Эльгера 8.","улица Эльгера","8","""['сделать', 'тротуар', 'поворот', 'дом', 'эльгер', '8']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14724","Сделать для детей футбольную коробку","улица Социалистическая","11","""['сделать', 'ребенок', 'футбольный', 'коробка']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14725","Вокруг дома сделать отмоску","улица Социалистическая","11","""['вокруг', 'дом', 'сделать', 'отмоска']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14726","Для мусорного контейнера нужно найти место!!! Течет крыша и бежит вода, где труба (сливная труба)","улица Молодежная","19","""['мусорный', 'контейнер', 'нужно', 'находить', 'место', '!!! ', 'течь', 'крыша', 'бежать', 'вода', 'труба', ' (', 'сливной', 'труба']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14727","Ремонт дворов во дворе","бульвар Зеленый","17","""['ремонт', 'двор', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14728","спортинвентарь (на дет.площадке)нет хорошей дороги","улица Парижской Коммуны","2","""['спортинвентарь', ' (', 'дет', 'площадка', ')', 'хороший', 'дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14729","Сделать косметический ремонт в 6 подъезде","проспект Тракторостроителей","35/19","""['сделать', 'косметический', 'ремонт', '6', 'подъезд']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14730","Прошу разобраться по какой причине дом по ул. Эльгера 26 постоянно исключают из плана капитального ремонта","улица Эльгера","26","""['просить', 'разбираться', 'причина', 'дом', 'ул', 'эльгер', '26', 'постоянно', 'исключать', 'план', 'капитальный', 'ремонт']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14731","дорогу отремонтировать
дет.площадка","улица Парижской Коммуны","2","""['дорога', 'отремонтировать', 'дет', 'площадка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14732","Ремонт в подъезде","улица Текстильщиков","11","""['ремонт', 'подъезд']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14733","Детская площадка","бульвар Зеленый","1а","""['детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14734","Фасад
Тротуар
Ступени перед входом","проспект 9-й Пятилетки","2 корп. 2","""['фасад', 'тротуар', 'ступень', 'вход']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14735","Улучшение транспортного сообщения между НЧК и Чебоксарами","бульвар Гидростроителей","4","""['улучшение', 'транспортный', 'сообщение', 'НЧК', 'чебоксары']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14736","Шум возле кафе ""Парковка""","бульвар Эгерский","32","""['шум', 'возле', 'кафе', ' \""', 'парковка']""","Parking",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14737","Нужна спортивная площадка, футбольное поле на пустыре, пешеходный переход с Винокурова 99 к гипермаркету Магнит","улица Строителей","23 корп. 1","""['нужный', 'спортивный', 'площадка', 'футбольный', 'поле', 'пустырь', 'пешеходный', 'переход', 'винокуров', '99', 'гипермаркет', 'магнит']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14738","Турник, спортивная тренажерная площадка ","улица Ленинского Комсомола","37 корп. 1","""['турник', 'спортивный', 'тренажерный', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14739","Оборудовать детскую площадку.","улица Николая Рождественского","8","""['оборудовать', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14740","Перед нашим домом очень просторная площадка , но она пустая. Хорошо бы ее облагоустроить, расширить детскую площадку! Негде играть детям!","улица Мичмана Павлова","24","""['наш', 'дом', 'очень', 'просторный', 'площадка', ' , ', 'пустой', 'облагоустраивать', 'расширять', 'детский', 'площадка', '! ', 'негде', 'играть', 'ребенок', '!']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14741","Отремонтировать дорогу и озеленить двор","улица Винокурова","37","""['отремонтировать', 'дорога', 'озеленять', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14742","Поставить больше скамеек, разнообразить детские площадки, организовать прокат самокатов/велосипедов","улица Советская","36","""['поставлять', 'скамейка', 'разнообразить', 'детский', 'площадка', 'организовывать', 'прокат', 'самокат', '/', 'велосипед']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14743","ремонтировать дороги возле дома

срубить веткие дервья ","проспект Ленина","54","""['ремонтировать', 'дорога', 'возле', 'дом', 'срубать', 'веткий', 'дервье']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14744","Обустроить дорогу по ул.Федина, а также съезд с элеватора","улица Константина Федина","7 корп. А","""['обустраивать', 'дорога', 'ул', 'федина', 'также', 'съезд', 'элеватор']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14745","Покрасить фасады дома со стороны двора
Укрепить кабель со столба со стороны проезжий части","улица Текстильщиков","9А","""['покрасить', 'фасад', 'дом', 'сторона', 'двор', 'укреплять', 'кабель', 'столб', 'сторона', 'проезжий', 'часть']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14746","Предусмотреть строительство детской площадки по пер.Химиков","переулок Химиков","6","""['предусматривать', 'строительство', 'детский', 'площадка', 'переть', 'химик']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14747","Провести уличное освещение.Выполнить благоустройство проезжей части.","улица Плеханова","7 корп. А","""['проводить', 'уличный', 'освещение', 'выполнять', 'благоустройство', 'проезжий', 'часть']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14748","Много бродячих собак","улица Молодежная","7","""['бродячий', 'собака']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14749","возле дома нет пешеходного тротуара, просьба перенести ограду клумб . чтоб можно было удобно ходить","улица Шумилова","11","""['возле', 'дом', 'пешеходный', 'тротуар', 'просьба', 'перенести', 'ограда', 'клумба', 'удобно', 'ходить']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14750","обновить детскую площадку","проспект Мира","23А","""['обновлять', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14751","Необходима благоустроенная детская площадка, бардюры, стоянка машин! Полностью благоустройство территории вокруг дома! Дом первый в этом микрорайоне.","улица Воинов интернационалистов","35","""['необходимый', 'благоустроенный', 'детский', 'площадка', 'бардюр', 'стоянка', 'машина', '! ', 'полностью', 'благоустройство', 'территория', 'вокруг', 'дом', '! ', 'дом', 'первый', 'микрорайон']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14752","благоустроить парк свер чпаево

отремонтироват дороги возле дома. очень много трещин","проспект Ленина","52","""['благоустраивать', 'парк', 'свер', 'чпаево', 'отремонтировата', 'дорога', 'возле', 'дом', 'очень', 'трещина']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14753","Сделать тротуар к дому.","улица Пржевальского","4","""['сделать', 'тротуар', 'дом']""","General improvement",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14754","Школа 
Детская площадка
","улица Лукина","4","""['школа', ' \\n', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14755","Во дворе установить хоккейную коробку для ребят. Отремонтировать 1 подъезд по ул. Первомайской,16-17","улица Первомайская","16","""['двор', 'устанавливать', 'хоккейный', 'коробка', 'ребята', 'отремонтировать', '1', 'подъезд', 'ул', 'первомайский', '16', '-', '17']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14756","Благоустройство двора
Асфальтированная дорога
","улица Космонавта Николаева А.Г.","46 корп. 1","""['благоустройство', 'двор', 'асфальтировать', 'дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14757","Парковка перед домом, детская площадка","улица Ахазова","6","""['парковка', 'дом', 'детский', 'площадка']""","Parking",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14758","Возобновить бесплатный проезд для пенсионеров в пригородном транспорте","улица Эльгера","28","""['возобновлять', 'бесплатный', 'проезд', 'пенсионер', 'пригородный', 'транспорт']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
"14759","Ремонт тротуаров","улица Богдана Хмельницкого","12 корп. 1","""['ремонт', 'тротуар']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:38","2021-10-30 20:44:43"
